framecallback_start, ready_flag_end,node_update_start,node_update_time(us),node_update_end,split_preprocess_start,split_preprocess_time(us),split_preprocess_end,split_start,split_time(us),split_end,roi_ethernet_start, roi_total_ethernet_start
1754651425733123,8463496687868977952,1754651425721736,17,1754651425721753,1754651425733128,16,1754651425733144,1754651425733145,169,1754651425733314,1754651425734102,8463496687868977952,
1754651426199771,8463496687868977952,1754651426187307,25,1754651426187332,1754651426199775,16,1754651426199791,1754651426199791,122,1754651426199913,1754651426200155,8463496687868977952,
1754651426666408,8463496687868977952,1754651426653865,28,1754651426653893,1754651426666412,15,1754651426666427,1754651426666428,120,1754651426666548,1754651426666908,8463496687868977952,
1754651427099759,8463496687868977952,1754651427089334,17,1754651427089351,1754651427099763,15,1754651427099778,1754651427099779,124,1754651427099903,1754651427100184,8463496687868977952,
1754651427533076,8463496687868977952,1754651427521883,24,1754651427521907,1754651427533081,15,1754651427533096,1754651427533096,97,1754651427533193,1754651427533419,8463496687868977952,
1754651427999821,8463496687868977952,1754651427987188,24,1754651427987212,1754651427999824,13,1754651427999837,1754651427999837,95,1754651427999932,1754651428000183,8463496687868977952,
1754651428433090,8463496687868977952,1754651428422304,22,1754651428422326,1754651428433093,15,1754651428433108,1754651428433109,98,1754651428433207,1754651428433424,8463496687868977952,
1754651428866413,8463496687868977952,1754651428854673,24,1754651428854697,1754651428866417,16,1754651428866433,1754651428866433,95,1754651428866528,1754651428866703,8463496687868977952,
1754651429299934,8463496687868977952,1754651429287796,22,1754651429287818,1754651429299938,16,1754651429299954,1754651429299955,95,1754651429300050,1754651429300338,8463496687868977952,
1754651429733121,8463496687868977952,1754651429722152,21,1754651429722173,1754651429733125,15,1754651429733140,1754651429733140,97,1754651429733237,1754651429733439,8463496687868977952,
1754651430166426,8463496687868977952,1754651430155146,23,1754651430155169,1754651430166430,16,1754651430166446,1754651430166447,97,1754651430166544,1754651430166725,8463496687868977952,
1754651430599772,8463496687868977952,1754651430588614,22,1754651430588636,1754651430599777,17,1754651430599794,1754651430599795,98,1754651430599893,1754651430600077,8463496687868977952,
1754651431033188,8463496687868977952,1754651431021338,44,1754651431021382,1754651431033191,13,1754651431033204,1754651431033204,94,1754651431033298,1754651431033488,8463496687868977952,
1754651431466559,8463496687868977952,1754651431455099,24,1754651431455123,1754651431466563,17,1754651431466580,1754651431466581,93,1754651431466674,1754651431466980,8463496687868977952,
1754651431899783,8463496687868977952,1754651431888634,22,1754651431888656,1754651431899788,15,1754651431899803,1754651431899803,116,1754651431899919,1754651431900180,8463496687868977952,
1754651432366532,8463496687868977952,1754651432353977,26,1754651432354003,1754651432366536,14,1754651432366550,1754651432366551,91,1754651432366642,1754651432366868,8463496687868977952,
1754651432799719,8463496687868977952,1754651432788676,22,1754651432788698,1754651432799722,16,1754651432799738,1754651432799739,105,1754651432799844,1754651432800033,8463496687868977952,
1754651433233101,8463496687868977952,1754651433221825,23,1754651433221848,1754651433233105,17,1754651433233122,1754651433233123,119,1754651433233242,1754651433233537,8463496687868977952,
1754651433666457,8463496687868977952,1754651433655306,23,1754651433655329,1754651433666461,18,1754651433666479,1754651433666479,236,1754651433666715,1754651433666981,8463496687868977952,
1754651434099755,8463496687868977952,1754651434088623,22,1754651434088645,1754651434099759,17,1754651434099776,1754651434099777,113,1754651434099890,1754651434100346,8463496687868977952,
1754651434533086,8463496687868977952,1754651434521780,23,1754651434521803,1754651434533089,16,1754651434533105,1754651434533105,109,1754651434533214,1754651434533479,8463496687868977952,
1754651434967962,8463496687868977952,1754651434955020,24,1754651434955044,1754651434967967,17,1754651434967984,1754651434967985,96,1754651434968081,1754651434968277,8463496687868977952,
1754651435433109,8463496687868977952,1754651435420551,27,1754651435420578,1754651435433113,16,1754651435433129,1754651435433129,95,1754651435433224,1754651435433450,8463496687868977952,
1754651435866393,8463496687868977952,1754651435855159,23,1754651435855182,1754651435866395,13,1754651435866408,1754651435866408,157,1754651435866565,1754651435867276,8463496687868977952,
1754651436299791,8463496687868977952,1754651436288487,17,1754651436288504,1754651436299793,15,1754651436299808,1754651436299809,96,1754651436299905,1754651436300160,8463496687868977952,
1754651436733090,8463496687868977952,1754651436721722,27,1754651436721749,1754651436733094,15,1754651436733109,1754651436733109,95,1754651436733204,1754651436733406,8463496687868977952,
