framesensor_start,framecallback_start, ready_flag_end,node_update_start,node_update_time(us),node_update_end,split_preprocess_start,split_preprocess_time(us),split_preprocess_end,split_start,split_time(us),split_end,roi_ethernet_start, roi_total_ethernet_start
1758182284371105,23551162614,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182284371953,4,1758182284371957,1758182284371957,39,1758182284371996,1758182284371996,1758182284372031,
1758182284437795,23551229290,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182284438594,3,1758182284438597,1758182284438598,36,1758182284438634,1758182284438634,1758182284438669,
1758182284504465,23551295966,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182284505268,2,1758182284505270,1758182284505270,27,1758182284505297,1758182284505298,1758182284505328,
1758182284571105,23551362610,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182284571816,2,1758182284571818,1758182284571818,28,1758182284571846,1758182284571846,1758182284571875,
1758182284637882,23551429286,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182284638430,2,1758182284638432,1758182284638432,27,1758182284638459,1758182284638459,1758182284638490,
1758182284704484,23551495962,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182284705221,2,1758182284705223,1758182284705223,26,1758182284705249,1758182284705249,1758182284705278,
1758182284771125,23551562607,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182284771828,2,1758182284771830,1758182284771830,26,1758182284771856,1758182284771857,1758182284771886,
1758182284837875,23551629283,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182284838582,1,1758182284838583,1758182284838583,27,1758182284838610,1758182284838610,1758182284838640,
1758182284904496,23551695959,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182284905446,2,1758182284905448,1758182284905448,37,1758182284905485,1758182284905485,1758182284905519,
1758182284971139,23551762604,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182284971856,3,1758182284971859,1758182284971859,43,1758182284971902,1758182284971902,1758182284971939,
1758182285037877,23551829280,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182285038646,2,1758182285038648,1758182285038648,36,1758182285038684,1758182285038685,1758182285038724,
1758182285104486,23551895955,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182285105204,3,1758182285105207,1758182285105207,37,1758182285105244,1758182285105244,1758182285105280,
1758182285171148,23551962600,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182285171946,3,1758182285171949,1758182285171949,37,1758182285171986,1758182285171986,1758182285172020,
1758182285237830,23552029276,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182285238584,3,1758182285238587,1758182285238587,39,1758182285238626,1758182285238626,1758182285238661,
1758182285304535,23552095952,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182285305283,3,1758182285305286,1758182285305286,39,1758182285305325,1758182285305325,1758182285305362,
1758182285371133,23552162597,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182285371974,2,1758182285371976,1758182285371977,37,1758182285372014,1758182285372014,1758182285372048,
1758182285437812,23552229273,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182285438501,2,1758182285438503,1758182285438503,38,1758182285438541,1758182285438541,1758182285438577,
1758182285504522,23552295949,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182285505207,3,1758182285505210,1758182285505210,37,1758182285505247,1758182285505247,1758182285505280,
1758182285571138,23552362593,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182285571917,2,1758182285571919,1758182285571919,38,1758182285571957,1758182285571958,1758182285571995,
1758182285637791,23552429269,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182285638549,3,1758182285638552,1758182285638552,37,1758182285638589,1758182285638590,1758182285638624,
1758182285704500,23552495945,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182285705324,2,1758182285705326,1758182285705327,38,1758182285705365,1758182285705365,1758182285705399,
1758182285771172,23552562621,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182285771925,3,1758182285771928,1758182285771928,39,1758182285771967,1758182285771967,1758182285772000,
1758182285837833,23552629266,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182285838685,3,1758182285838688,1758182285838688,36,1758182285838724,1758182285838725,1758182285838759,
1758182285904481,23552695942,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182285905259,2,1758182285905261,1758182285905261,36,1758182285905297,1758182285905297,1758182285905333,
1758182285971187,23552762618,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182285971959,2,1758182285971961,1758182285971961,38,1758182285971999,1758182285972000,1758182285972034,
1758182286037809,23552829262,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182286038640,2,1758182286038642,1758182286038643,38,1758182286038681,1758182286038681,1758182286038717,
1758182286104519,23552895938,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182286105235,3,1758182286105238,1758182286105238,34,1758182286105272,1758182286105272,1758182286105304,
1758182286171138,23552962614,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182286171908,2,1758182286171910,1758182286171911,37,1758182286171948,1758182286171948,1758182286171984,
1758182286237808,23553029259,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182286238569,2,1758182286238571,1758182286238572,38,1758182286238610,1758182286238611,1758182286238645,
1758182286304513,23553095935,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182286305246,2,1758182286305248,1758182286305249,38,1758182286305287,1758182286305287,1758182286305322,
1758182286371159,23553162611,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182286371918,3,1758182286371921,1758182286371922,37,1758182286371959,1758182286371960,1758182286371994,
1758182286437800,23553229256,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182286438503,2,1758182286438505,1758182286438505,29,1758182286438534,1758182286438534,1758182286438562,
1758182286504488,23553295931,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182286505293,3,1758182286505296,1758182286505297,39,1758182286505336,1758182286505337,1758182286505373,
1758182286571178,23553362607,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182286571962,3,1758182286571965,1758182286571966,41,1758182286572007,1758182286572007,1758182286572046,
1758182286637848,23553429252,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182286638618,3,1758182286638621,1758182286638621,40,1758182286638661,1758182286638661,1758182286638696,
1758182286704547,23553495928,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182286705315,2,1758182286705317,1758182286705318,37,1758182286705355,1758182286705356,1758182286705389,
1758182286771166,23553562604,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182286771972,2,1758182286771974,1758182286771975,39,1758182286772014,1758182286772014,1758182286772052,
1758182286837796,23553629249,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182286838590,3,1758182286838593,1758182286838593,37,1758182286838630,1758182286838631,1758182286838667,
1758182286904345,23553695925,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182286905239,3,1758182286905242,1758182286905242,37,1758182286905279,1758182286905280,1758182286905318,
1758182286971140,23553762600,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182286972061,3,1758182286972064,1758182286972064,37,1758182286972101,1758182286972101,1758182286972137,
1758182287037888,23553829245,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182287038649,3,1758182287038652,1758182287038653,38,1758182287038691,1758182287038692,1758182287038729,
1758182287104438,23553895921,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182287105300,3,1758182287105303,1758182287105304,38,1758182287105342,1758182287105342,1758182287105376,
1758182287171220,23553962597,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182287171944,3,1758182287171947,1758182287171947,40,1758182287171987,1758182287171988,1758182287172022,
1758182287237801,23554029273,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182287238562,3,1758182287238565,1758182287238565,41,1758182287238606,1758182287238606,1758182287238643,
1758182287304485,23554095918,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182287305293,3,1758182287305296,1758182287305296,39,1758182287305335,1758182287305336,1758182287305371,
1758182287371172,23554162594,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182287371901,2,1758182287371903,1758182287371903,37,1758182287371940,1758182287371940,1758182287371973,
1758182287437881,23554229270,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182287438647,4,1758182287438651,1758182287438651,37,1758182287438688,1758182287438689,1758182287438724,
1758182287504492,23554295914,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182287505351,3,1758182287505354,1758182287505354,39,1758182287505393,1758182287505394,1758182287505429,
1758182287571120,23554362590,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182287572047,4,1758182287572051,1758182287572052,40,1758182287572092,1758182287572092,1758182287572127,
1758182287637804,23554429266,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182287638636,2,1758182287638638,1758182287638638,34,1758182287638672,1758182287638673,1758182287638704,
1758182287704521,23554495911,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182287705358,3,1758182287705361,1758182287705361,37,1758182287705398,1758182287705399,1758182287705433,
1758182287771050,23554562587,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182287771998,3,1758182287772001,1758182287772002,36,1758182287772038,1758182287772039,1758182287772075,
1758182287837806,23554629263,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182287838645,3,1758182287838648,1758182287838649,38,1758182287838687,1758182287838687,1758182287838724,
1758182287904477,23554695907,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182287905219,2,1758182287905221,1758182287905222,33,1758182287905255,1758182287905256,1758182287905288,
1758182287971192,23554762583,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182287971939,3,1758182287971942,1758182287971942,37,1758182287971979,1758182287971980,1758182287972016,
1758182288037880,23554829259,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182288038641,3,1758182288038644,1758182288038645,37,1758182288038682,1758182288038682,1758182288038719,
1758182288104484,23554895904,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182288105375,2,1758182288105377,1758182288105377,39,1758182288105416,1758182288105416,1758182288105452,
